Zip,Sum of Number of Services,Sum of Number of Unique Beneficiaries,Count of Number of Unique Beneficiaries,Sum of Total Medicare Payment Amount,Average of Percent (%) of Beneficiaries Identified With Cancer,Average of Percent (%) of Beneficiaries Identified With Diabetes,Average of Average HCC Risk Score of Beneficiaries
2919,908,64,1,21048.38,,0.38,1.034
33606,80,72,1,8910.76,,0.35,1.8647
70030,1111,229,1,70659.08,0.08,0.32,1.7736
73301,121,77,1,4546.11,,0.25,1.1364
74406,205,162,1,9187.43,,0.51,1.2256
75001,152502,23304,70,7674075.31,0.142777778,0.449354839,2.150604286
75002,14979,4528,30,715183.22,0.075714286,0.296315789,1.254893333
75006,60160,13478,39,3126535.37,0.105714286,0.3596,1.217579487
75007,133268,8459,45,2811584.7,0.094761905,0.355555556,1.369262222
75009,7760,1219,9,212258.72,0.1,0.321666667,1.057
75010,188432,24278,111,8064238.88,0.108125,0.344791667,1.292125225
75013,200053,27362,138,8061960.33,0.123466667,0.326238532,1.22477971
75019,42411,9537,58,1928301.78,0.087777778,0.297894737,1.1245
75020,586064,103533,109,20562088.95,0.120947368,0.374953271,1.582922936
75021,23,23,1,1429.59,,,1.3279
75022,36478,6285,33,1090054.66,0.1,0.318695652,1.248209091
75023,57228,14154,70,2331392.58,0.086428571,0.277142857,1.06574
75024,309105,44805,120,14054075.05,0.11125,0.318383838,1.276571667
75025,34034,5708,29,1136718.16,0.108,0.283333333,1.150610345
75028,122440,20861,105,6229150.61,0.125762712,0.292142857,1.068465714
75032,151272,30963,109,8064636.92,0.096944444,0.319,1.219079817
75033,24804,3196,22,938125.53,0.101666667,0.295,1.098809091
75034,197339,28125,155,8505983.09,0.11164557,0.33295082,1.330731613
75035,162918,16440,89,6716679.79,0.112181818,0.346666667,1.41661573
75038,312206,41514,92,14492512.74,0.107230769,0.396666667,1.572721739
75039,754936,172350,132,42079318.79,0.134343434,0.362372881,1.499089394
75040,72160,11667,52,2905507.34,0.089615385,0.369318182,1.170859615
75041,81727,7390,22,2953931.29,0.16625,0.413157895,1.671890909
75042,3340715,121960,197,39936900.54,0.119673203,0.410978261,1.755014213
75043,39031,6024,23,1561842.21,0.102857143,0.383157895,1.682808696
75044,28184,6077,25,1798181.99,0.068333333,0.323,1.254044
75047,1239,429,1,75240.9,0.14,0.45,2.1393
75048,7793,1686,10,338286.86,0.0725,0.33625,1.17875
75050,30411,4056,23,1151715.39,0.10125,0.374,1.250886957
75051,30287,5843,32,1355500.18,0.089047619,0.354333333,1.2504625
75052,300349,18287,39,8737762.23,0.1,0.381176471,1.282146154
75054,4214,1122,4,275863.16,0.106666667,0.4075,2.029375
75056,18007,2429,21,769849.1,0.125714286,0.323333333,1.100171429
75057,204915,33806,83,10021563.57,0.12754386,0.37109589,1.568712048
75060,20149,3429,15,998075.69,0.11875,0.350833333,1.2254
75061,861469,65418,159,22417196.59,0.138319328,0.431324503,1.891449686
75062,126755,41777,62,3961636.3,0.079722222,0.392,1.366827419
75063,3568879,402650,85,51399640.25,0.15125,0.350434783,1.284991765
75065,3583,1012,5,122869.42,0.0775,0.315,0.93746
75067,879390,78222,67,20770606.2,0.15804878,0.353529412,1.422467164
75068,9620,1751,19,356417.4,0.105,0.35,1.252721053
75069,502509,41796,110,21838025.19,0.120470588,0.353571429,1.468135455
75070,94402,18790,97,4318246.18,0.10625,0.323,1.226886598
75071,262451,30632,90,9725717.43,0.118333333,0.33961039,1.383571111
75072,2040,198,1,22583.22,0.06,0.44,1.1256
75074,67048,9628,52,2945697.2,0.100344828,0.361666667,1.436819231
75075,941016,187544,236,29496704.96,0.155730994,0.348613861,1.461282203
75076,3519,322,2,86439.58,0.14,0.28,1.5012
75077,51827,6402,39,2471497.6,0.092380952,0.330625,1.284074359
75078,4005,899,12,154383.8,0.125,0.281111111,0.993425
75080,329518,59169,160,14864703.2,0.116842105,0.310367647,1.299614375
75081,66909,9343,47,2161912.09,0.094642857,0.325882353,1.250495745
75082,58515,14108,64,3476854.76,0.15725,0.345,1.393554688
75087,86985,12176,57,4186670.61,0.0875,0.359767442,1.27665614
75088,198173,35585,77,6697325.36,0.112372881,0.368028169,1.418071429
75089,14169,3057,16,775711.96,0.0775,0.37,1.44309375
75090,1033823,45306,87,24244803.69,0.138571429,0.344078947,1.418477011
75092,417542,59447,131,17466885.16,0.1181,0.379661017,1.600083969
75093,1435044,216639,617,62997446.71,0.140113895,0.322705882,1.365900324
75094,17062,2638,15,547675.04,0.087142857,0.413333333,1.41222
75098,24414,3965,31,663903.84,0.083571429,0.317083333,1.20253871
75103,20441,4524,15,456884.79,0.086153846,0.270769231,0.964406667
75104,80690,18627,52,4617204.96,0.084166667,0.395111111,1.391442308
75109,1335,844,1,25733.35,0.13,0.41,1.6719
75110,168929,29899,66,6576040.09,0.106666667,0.366923077,1.396689394
75114,944,539,1,70650.83,0.12,0.41,1.995
75115,477183,81697,123,20607217.42,0.111458333,0.48112069,2.172130894
75116,66855,10365,33,2508769.77,0.1045,0.402,1.358533333
75119,87900,10853,41,4096223.07,0.092142857,0.359473684,1.349070732
75125,16062,850,2,439409.18,0.09,0.43,1.4454
75126,23013,4185,18,845425.77,0.1075,0.306923077,1.139688889
75134,7620,469,1,263285.54,0.08,0.57,2.6912
75137,110557,6896,18,2705079.77,0.184166667,0.377647059,1.465516667
75140,11753,1429,7,255741.9,0.1,0.29,1.164228571
75141,2647,200,2,135991.78,0.11,0.585,2.7358
75142,63817,14875,37,2498591.62,0.1024,0.369444444,1.450713514
75143,7735,944,7,187881.52,0.073333333,0.268,1.207985714
75146,40950,6382,19,1953082.08,0.085333333,0.461764706,1.767326316
75147,1759,815,3,31740.85,0.07,0.28,1.0445
75148,3506,407,1,148607.95,0.1,0.37,1.5649
75149,215937,44474,83,8480918.86,0.106166667,0.445064935,1.73343012
75150,622396,54672,152,20511611.31,0.132524272,0.421328671,1.643874342
75151,2564,859,1,128660.42,0.1,0.5,2.2889
75152,101,94,1,15446.74,0.12,0.44,1.2268
75154,66189,5592,19,2426046.21,0.064166667,0.403529412,1.420536842
75155,207,176,1,18711.58,0.09,0.44,2.0087
75156,38763,6091,19,1181213.73,0.079230769,0.356428571,1.319652632
75159,906,412,3,17188.63,0.07,0.263333333,0.933666667
75160,69476,11875,54,2051454.36,0.063142857,0.3625,1.314001852
75163,3573,368,1,132151.05,0.1,0.33,1.2629
75165,121176,29927,97,6596875.63,0.104347826,0.376781609,1.424107216
75169,4106,741,5,122718.48,0.09,0.26,1.0427
75172,999,42,1,22398.78,,0.64,2.5054
75180,15152,2119,3,437902.61,0.07,0.456666667,1.728366667
75181,297,172,2,16774.01,0.15,0.355,1.09075
75182,66342,16514,43,4316829.73,0.10516129,0.396842105,1.593027907
75185,3034,2132,5,251736.13,0.094,0.426,1.81706
75189,12435,1354,7,491183.22,0.05,0.331666667,1.193057143
75201,55873,21320,57,3743593.95,0.101836735,0.444210526,2.113308772
75202,43692,4242,7,696230.39,0.0525,0.442,1.688714286
75203,248097,59976,150,13870289.67,0.140186916,0.483956835,2.315621333
75204,976718,125697,200,33590672.14,0.11222973,0.361542857,1.521427
75205,72311,24467,52,5388508.63,0.128205128,0.381904762,1.563309615
75206,61527,18006,43,4208632.06,0.0952,0.365,1.437848837
75207,3814,1718,11,165954.59,0.093333333,0.351,1.493663636
75208,310918,53914,167,21787252.42,0.114748201,0.492,2.308347305
75209,7611,4026,13,260283.81,0.164,0.321111111,1.218
75210,462,161,2,10868.58,0.045,0.545,1.31415
75211,12052,4786,31,382972.06,0.065833333,0.424444444,1.312816129
75212,4816,722,4,168319.43,0.025,0.463333333,1.497175
75214,257081,10343,46,4248797.36,0.107037037,0.329722222,1.278882609
75215,44119,3502,13,1361990.96,0.04875,0.394444444,1.582792308
75216,53617,13784,48,1778738.14,0.088888889,0.435,1.63168125
75217,17369,4154,27,743865.33,0.122,0.506521739,1.455322222
75218,155768,30407,91,7253888.18,0.1034375,0.380123457,1.453725275
75219,53764,16102,95,3654127.94,0.142985075,0.367529412,1.549257895
75220,15239,2730,23,538862.27,0.068571429,0.418823529,1.211365217
75224,63763,14883,42,3340366.76,0.0975,0.479487179,1.657102381
75225,62918,12273,47,3353956.42,0.122424242,0.273947368,1.195129787
75226,243847,58868,50,16917832.06,0.117659574,0.437142857,2.192858
75227,10660,2511,12,492159.87,0.25,0.462222222,1.87595
75228,24670,5991,33,1380537.09,0.051875,0.35875,1.443193939
75229,12104,2345,11,1659122.66,0.157142857,0.295,1.345636364
75230,4188472,545470,334,79945178.7,0.155789474,0.332673993,1.490095509
75231,2834025,290502,772,125218510.6,0.153633277,0.302859327,1.389920596
75232,4179,804,4,176362.87,0.1,0.49,2.018225
75233,1058,284,3,35658.71,0.12,0.41,1.4362
75234,680589,25399,84,8329255.69,0.118596491,0.380810811,1.707959524
75235,533755,145644,360,19735400.39,0.140895522,0.439096774,1.864692222
75236,328,154,1,6177.31,0.11,0.34,1.1517
75237,665252,38586,129,18974092.38,0.140434783,0.445254237,1.771557364
75238,34524,4003,23,1246371.9,0.135,0.308947368,1.355895652
75240,345971,135524,661,25816419,0.157335702,0.382075472,1.759694856
75241,441,215,2,8820,,0.415,1.08905
75243,530677,81429,118,12401047.26,0.1184,0.366857143,1.628245763
75244,291829,40673,47,9310312.12,0.142307692,0.430769231,1.920546809
75246,4003639,292137,569,87182308.06,0.177637131,0.401863118,1.989235149
75247,186583,61670,52,9309117.16,0.123181818,0.434893617,2.126894231
75248,23901,9444,49,1643359.3,0.126956522,0.321666667,1.330759184
75251,288609,80403,152,15937081.06,0.136470588,0.384892086,1.860997368
75252,23915,6421,25,2275293.82,0.100526316,0.338095238,1.420496
75253,441,78,1,17701.41,,0.33,0.9344
75254,155602,14021,41,4710212.91,0.158148148,0.358333333,1.62454878
75257,175,70,1,36294.82,,0.66,1.3405
75258,1721,676,1,93041.7,0.1,0.24,1.0737
75261,1125,121,1,44727.34,0.12,0.31,1.2857
75266,45,44,1,733.45,,0.36,1.5918
75275,191,107,1,4946.88,,0.2,0.7678
75284,289,172,2,17947.91,0.1,0.75,1.73995
75287,19209,5969,48,1217628.11,0.126,0.327142857,1.195729167
75320,1844,333,1,64798.72,0.11,0.69,1.0927
75372,38,27,1,3399.75,,0.41,1.7981
75390,858812,312316,1173,49097032.69,0.180941176,0.410448473,2.095370418
75401,341915,33878,78,10504342.82,0.094,0.349452055,1.297485897
75402,139517,23250,37,6157720.8,0.1056,0.318888889,1.288383784
75403,21015,8996,4,425246.41,0.09,0.395,1.581225
75407,1023,216,2,23574.23,,0.24,0.9202
75409,865,225,3,22036.39,,0.326666667,1.034766667
75414,43123,1285,2,880696.76,0.105,0.385,1.75515
75417,3505,476,1,81552.75,0.07,0.31,1.1635
75418,52308,5461,17,1557998.92,0.095833333,0.347333333,1.346252941
75426,37265,3112,5,1391703.79,0.096,0.338,1.4412
